% age AD	NGRIP	GRIP	Camp Century	Dye-3	Milcent	Dome C	Dome Fuji	South Pole	Siple Dome
1972.8	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1972.7	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1972.6	0.9289	NaN	NaN	0.67898	NaN	NaN	NaN	0.88155	0.67562
1972.5	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1972.4	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1972.3	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1972.2	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1972.1	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1972	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1971.9	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1971.8	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1971.7	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1971.6	1.0195	NaN	NaN	0.34441	NaN	NaN	NaN	0.88155	0.67562
1971.5	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.67562
1971.4	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.67562
1971.3	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1971.2	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1971.1	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1971	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1970.9	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1970.8	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1970.7	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1970.6	0.77774	NaN	NaN	0.49202	NaN	NaN	NaN	0.88155	0.62798
1970.5	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1970.4	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1970.3	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1970.2	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1970.1	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1970	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1969.9	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1969.8	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1969.7	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	0.62798
1969.6	0.59254	NaN	NaN	0.40345	NaN	NaN	NaN	0.88155	1.1434
1969.5	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	0.88155	1.1434
1969.4	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	0.88155	1.1434
1969.3	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	1.1434
1969.2	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	1.1434
1969.1	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	1.1434
1969	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	1.1434
1968.9	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	0.91815
1968.8	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	0.91815
1968.7	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	0.91815
1968.6	0.65946	NaN	NaN	0.48218	NaN	NaN	NaN	1.1126	0.91815
1968.5	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1968.4	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1968.3	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1968.2	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
1968.1	0.83313	NaN	NaN	0.45265	NaN	NaN	NaN	1.1126	0.91815
