t,dt,rad,colat,lat,lon,D,dD,I,dI,F,dF,UID,FID
1050,50.0,6371.2,39.500,50.500,30.500,11.000,7.599,72.500,2.285,75.000,3.869,2084,""
1050,50.0,6371.2,43.200,46.800,28.500,14.500,5.941,69.500,2.080,73.000,4.794,2085,""
1050,50.0,6371.2,39.500,50.500,30.500,21.500,6.581,72.000,2.034,72.000,4.901,2086,""
1050,50.0,6371.2,39.500,50.500,30.500,13.500,7.136,72.500,2.146,74.000,4.286,2087,""
1050,150.0,6371.2,38.800,51.200,-0.200,24.800,10.222,58.500,5.341,,,6186,""
1050,50.0,6371.2,37.320,52.680,1.280,29.400,6.494,70.100,2.210,,,6187,""
1050,50.0,6371.2,36.320,53.680,-0.630,21.300,4.665,63.800,2.059,,,6188,""
1050,50.0,6371.2,43.000,47.000,1.600,15.800,4.033,59.400,2.053,,,13359,""
1050,50.0,6371.2,40.930,49.070,2.380,20.170,4.059,60.060,2.026,,,13882,""
1050,50.0,6371.2,52.020,37.980,-1.120,21.700,3.346,51.300,2.092,58.300,5.004,3655,""
1050,150.0,6371.2,73.100,16.900,-96.300,-11.700,2.633,29.800,2.285,,,3916,""
1050,150.0,6371.2,73.100,16.900,-96.300,-11.100,2.627,27.700,2.326,,,3917,""
1050,150.0,6371.2,73.100,16.900,-96.300,-12.000,2.892,32.600,2.436,,,3918,""
1050,50.0,6371.2,42.320,47.680,16.620,31.100,5.740,66.100,2.326,,,4948,""
1050,50.0,6371.2,50.300,39.700,66.800,,,62.700,3.461,,,6999,""
1050,50.0,6371.2,40.500,49.500,31.400,17.000,9.112,73.000,2.664,,,7000,""
1050,50.0,6371.2,40.500,49.500,31.400,15.500,11.012,76.000,2.664,,,7001,""
1050,50.0,6371.2,39.600,50.400,5.000,23.800,4.304,62.000,2.020,,,5481,""
1050,50.0,6371.2,39.600,50.400,5.000,15.000,4.531,62.500,2.092,,,5482,""
1050,50.0,6371.2,39.500,50.500,5.100,21.800,4.403,61.800,2.080,,,5483,""
1050,50.0,6371.2,39.500,50.500,5.100,21.200,4.435,62.900,2.020,,,5484,""
1050,50.0,6371.2,67.900,22.100,-105.300,,,,,70.900,8.364,109,""
1050,50.0,6371.2,39.500,50.500,5.100,19.800,4.558,63.500,2.034,,,5485,""
1050,50.0,6371.2,42.730,47.270,17.170,20.500,4.948,63.000,2.247,,,3710,""
1050,50.0,6371.2,42.630,47.370,8.540,16.200,4.614,63.200,2.080,50.600,4.369,8830,""
1050,50.0,6371.2,42.730,47.270,17.170,18.300,5.088,62.800,2.326,,,3711,""
1050,50.0,6371.2,42.730,47.270,17.170,14.700,6.448,67.800,2.436,,,3712,""
1050,50.0,6371.2,42.730,47.270,17.170,19.500,4.416,62.200,2.059,,,3713,""
1050,50.0,6371.2,53.360,36.640,126.490,8.100,3.770,50.200,2.413,,,8328,""
1050,150.0,6371.2,62.300,27.700,78.733,,,,,40.300,3.241,1436,""
1050,50.0,6371.2,58.190,31.810,-110.720,-16.000,4.490,58.800,2.326,,,4764,""
1050,50.0,6371.2,52.420,37.580,-108.820,-14.700,4.704,63.900,2.070,,,4765,""
1050,50.0,6371.2,42.650,47.350,20.470,18.000,5.113,64.800,2.177,,,8350,""
1050,50.0,6371.2,37.860,52.140,10.950,18.000,5.614,66.200,2.265,,,4013,""
1050,50.0,6371.2,44.080,45.920,18.680,-2.900,7.950,72.500,2.391,,,4528,""
1050,50.0,6371.2,44.080,45.920,18.680,-13.300,6.808,68.600,2.484,,,4529,""
1050,100.0,6371.2,39.190,50.810,6.890,16.700,5.414,67.400,2.080,,,12977,""
1050,50.0,6371.2,44.080,45.920,18.680,-9.000,7.633,70.000,2.611,,,4530,""
1050,50.0,6371.2,42.600,47.400,16.680,18.800,4.793,63.200,2.161,,,4531,""
1050,50.0,6371.2,42.600,47.400,16.680,17.500,5.214,64.700,2.228,,,4532,""
1050,50.0,6371.2,42.420,47.580,16.860,18.900,6.859,69.400,2.413,,,4533,""
1050,50.0,6371.2,42.420,47.580,16.860,18.000,7.592,62.600,3.494,,,4534,""
1050,50.0,6371.2,42.420,47.580,16.860,21.000,10.949,68.500,4.013,,,4535,""
1050,50.0,6371.2,42.320,47.680,16.620,19.000,9.083,75.800,2.228,,,4536,""
1050,50.0,6371.2,39.500,50.500,30.500,21.000,6.581,72.000,2.034,75.000,4.659,453,""
1050,50.0,6371.2,40.960,49.040,1.370,21.870,4.980,65.130,2.095,,,13770,""
1050,70.0,6371.2,51.600,38.400,14.950,20.800,4.073,57.800,2.170,,,8144,""
1050,50.0,6371.2,41.270,48.730,2.330,20.150,4.482,63.180,2.022,,,13778,""
1050,50.0,6371.2,40.800,49.200,-0.400,21.600,4.574,63.420,2.047,,,13278,""
1050,50.0,6371.2,57.200,32.800,-107.700,,,,,54.600,4.376,232,""
1050,50.0,6371.2,54.630,35.370,137.080,-10.400,3.218,50.800,2.034,,,4853,""
1050,90.0,6371.2,42.150,47.850,4.330,13.890,4.747,59.280,2.425,,,13308,""
1051,50.0,6371.2,52.400,37.600,61.800,,,,,58.000,9.119,2915,""
1053,157.0,6371.2,125.900,-35.900,144.500,-15.600,4.775,-50.900,3.011,47.200,6.202,1468,""
1055,128.0,6371.2,42.220,47.780,18.700,15.200,5.416,66.300,2.177,,,3714,""
1055,128.0,6371.2,42.220,47.780,18.700,17.300,5.895,67.600,2.247,,,3715,""
1055,128.0,6371.2,42.220,47.780,18.700,18.300,5.531,67.000,2.161,,,3716,""
1055,50.0,6371.2,52.500,37.500,-108.950,-14.700,4.425,62.400,2.050,,,4766,""
1055,77.5,6371.2,61.727,28.273,-16.728,6.700,3.031,40.500,2.305,57.900,3.827,10700,""
1058,96.0,6371.2,61.696,28.304,-16.758,3.100,3.944,50.500,2.509,81.600,2.967,10425,""
1059,163.0,6371.2,61.727,28.273,-16.729,6.100,2.807,38.600,2.193,,,13039,""
1060,60.0,6371.2,116.700,-26.700,-66.100,,,,,45.100,2.992,8803,""
1060,50.0,6371.2,52.420,37.580,-108.840,-2.300,4.596,61.000,2.228,,,4767,""
1060,50.0,6371.2,52.420,37.580,-108.840,-5.800,4.482,58.100,2.369,,,4768,""
1062,87.0,6371.2,43.570,46.430,4.500,18.840,4.715,64.390,2.038,,,13852,""
1062,50.0,6371.2,54.880,35.120,137.120,-14.000,3.847,52.000,2.369,,,4854,""
1065,81.0,6371.2,56.660,33.340,-111.940,-5.700,3.883,57.600,2.080,,,8547,""
1065,50.0,6371.2,54.890,35.110,-108.830,-12.900,4.326,56.800,2.369,,,4772,""
1067,50.0,6371.2,52.420,37.580,-108.860,-11.300,4.358,61.800,2.059,,,4770,""
1068,79.0,6371.2,56.030,33.970,-111.320,-12.500,4.480,59.900,2.247,,,8579,""
1070,60.0,6371.2,70.600,19.400,-96.900,,,,,54.900,4.568,13084,""
1070,60.0,6371.2,70.600,19.400,-96.900,-17.400,2.560,34.200,2.118,54.900,4.568,13114,""
1070,50.0,6371.2,53.225,36.775,127.132,,,,,58.350,3.432,11651,""
1070,50.0,6371.2,54.640,35.360,-111.510,-14.300,4.439,61.700,2.104,,,3730,""
1070,50.0,6371.2,54.640,35.360,-111.510,-17.000,4.553,60.700,2.228,,,3731,""
1070,50.0,6371.2,54.640,35.360,-111.510,-10.400,4.877,63.700,2.161,,,3732,""
1070,70.0,6371.2,55.300,34.700,139.400,,,,,47.000,4.163,2523,""
1071,117.0,6371.2,103.000,-13.000,-74.000,,,,,49.000,8.277,957,""
1072,50.0,6371.2,53.930,36.070,-107.960,,,,,52.100,5.651,606,""
1075,50.0,6371.2,54.530,35.470,-111.570,-28.300,6.859,69.800,2.369,,,8475,""
1075,50.0,6371.2,54.380,35.620,139.320,-13.500,3.234,49.400,2.104,,,4911,""
1075,50.0,6371.2,39.500,50.500,30.500,,,75.500,3.438,60.830,8.788,1852,""
1075,50.0,6371.2,51.140,38.860,0.120,15.800,3.201,47.900,2.146,,,3656,""
1075,125.0,6371.2,70.000,20.000,-99.300,-13.600,2.835,40.800,2.146,,,3919,""
1075,125.0,6371.2,70.000,20.000,-99.300,-15.900,2.707,34.600,2.228,,,3920,""
1075,50.0,6371.2,42.100,47.900,1.900,,,,,60.300,4.011,9054,""
1075,75.0,6371.2,40.870,49.130,2.200,23.480,4.581,63.950,2.012,,,13442,""
1075,75.0,6371.2,40.870,49.130,2.200,19.760,4.366,62.260,2.032,,,13443,""
1075,75.0,6371.2,40.870,49.130,2.200,20.550,4.070,60.070,2.031,,,13444,""
1075,75.0,6371.2,40.870,49.130,2.200,21.760,4.177,61.060,2.021,,,13445,""
1075,50.0,6371.2,37.800,52.200,-0.900,9.900,6.040,65.200,2.534,,,6034,""
1075,50.0,6371.2,54.890,35.110,-108.830,-19.500,4.421,60.000,2.210,,,4769,""
1075,50.0,6371.2,54.890,35.110,-108.830,-11.600,4.476,59.000,2.305,,,4771,""
1075,50.0,6371.2,52.790,37.210,-108.920,-11.900,4.673,61.000,2.265,,,4773,""
1075,80.0,6371.2,38.140,51.860,10.250,17.100,7.515,70.500,2.509,,,4014,""
1075,50.0,6371.2,41.270,48.730,2.330,18.550,4.688,64.680,2.005,,,13779,""
1075,50.0,6371.2,38.650,51.350,-0.250,2.000,5.363,64.300,2.326,,,6101,""
1075,50.0,6371.2,36.700,53.300,-0.750,22.100,4.985,65.600,2.059,,,6102,""
1075,50.0,6371.2,54.930,35.070,137.070,-18.100,5.700,65.200,2.391,,,4855,""
1075,50.0,6371.2,55.350,34.650,135.500,,,,,49.400,4.430,505,""
1075,50.0,6371.2,52.420,37.580,-108.850,-15.200,4.389,62.500,2.027,,,4774,""
1075,50.0,6371.2,52.420,37.580,-108.850,-7.800,4.570,62.200,2.131,,,4775,""
1075,50.0,6371.2,52.420,37.580,-108.850,-7.600,4.770,61.100,2.305,,,4776,""
1077,60.0,6371.2,105.205,-15.205,-56.811,-8.600,5.934,-54.600,3.438,,,12101,""
1079,78.0,6371.2,37.860,52.140,10.950,16.400,5.240,66.000,2.131,,,4015,""
1080,50.0,6371.2,51.600,38.400,14.950,21.400,3.754,55.900,2.104,,,8148,""
1081,50.0,6371.2,41.380,48.620,9.030,29.200,5.810,63.300,2.611,,,5405,""
1081,90.0,6371.2,112.280,-22.280,-51.500,,,,,51.630,7.723,6632,""
1081,83.0,6371.2,56.540,33.460,-112.010,4.200,3.532,51.500,2.198,,,8604,""
1084,50.0,6371.2,42.630,47.370,8.540,16.900,5.249,55.400,2.981,,,8829,""
1085,50.0,6371.2,55.310,34.690,139.400,-2.600,3.570,32.500,3.011,58.400,3.419,822,""
1085,50.0,6371.2,51.200,38.800,114.700,,,,,58.900,4.293,11574,""
1085,50.0,6371.2,51.200,38.800,114.700,,,,,43.400,3.446,11577,""
1085,50.0,6371.2,51.200,38.800,114.700,,,,,55.100,4.293,11583,""
1085,50.0,6371.2,51.200,38.800,114.700,,,,,51.600,3.437,11586,""
1085,50.0,6371.2,52.420,37.580,-108.830,-4.000,4.454,61.200,2.146,,,4777,""
1086,102.0,6371.2,69.271,20.729,-156.228,9.200,2.989,42.800,2.193,,,7638,""
1087,100.0,6371.2,41.440,48.560,9.060,15.400,5.114,59.300,2.611,,,5406,""
1087,72.0,6371.2,69.203,20.797,-156.018,11.000,3.174,40.500,2.413,,,7636,""
1087,50.0,6371.2,38.700,51.300,1.200,18.200,4.559,63.000,2.070,,,9984,""
1087,62.0,6371.2,47.900,42.100,25.430,15.800,4.352,61.900,2.050,72.130,3.852,9540,""
1087,50.0,6371.2,52.000,38.000,-1.100,,,,,52.400,3.508,11164,""
1088,64.0,6371.2,56.660,33.340,-111.940,-7.000,4.539,61.200,2.187,,,8545,""
1088,66.0,6371.2,56.660,33.340,-111.940,-9.400,4.689,61.600,2.230,,,8549,""
1090,50.0,6371.2,39.170,50.830,6.900,10.500,8.621,66.500,3.438,,,5407,""
1090,50.0,6371.2,39.170,50.830,6.900,10.700,5.757,64.700,2.460,,,5408,""
1090,65.0,6371.2,56.660,33.340,-111.940,-6.500,4.317,58.900,2.230,,,8543,""
1090,187.0,6371.2,70.810,19.190,-155.460,6.100,2.270,21.100,2.118,,,12649,""
1090,50.0,6371.2,42.630,47.370,8.540,11.000,8.607,64.300,3.733,,,8828,""
1090,70.0,6371.2,70.810,19.190,-155.454,,,,,63.500,2.737,12157,""
1090,50.0,6371.2,70.376,19.624,-96.987,-18.100,2.431,32.500,2.050,39.000,5.898,11244,""
1092,102.0,6371.2,69.203,20.797,-156.052,11.800,2.911,39.500,2.247,,,7637,""
1092,50.0,6371.2,54.800,35.200,-111.370,-7.200,5.373,64.100,2.347,,,8476,""
1092,50.0,6371.2,105.205,-15.205,-56.811,-8.300,4.228,-35.600,3.438,,,12116,""
1093,53.0,6371.2,52.400,37.600,61.800,,,,,45.200,7.439,2916,""
1093,61.0,6371.2,56.540,33.460,-112.010,-0.800,3.605,53.500,2.144,,,8603,""
1095,50.0,6371.2,47.400,42.600,23.000,9.500,5.142,60.800,2.509,67.860,3.774,9527,""
1096,75.0,6371.2,70.579,19.421,-155.386,-1.700,3.192,38.900,2.484,61.480,2.959,577,""
1096,75.0,6371.2,70.510,19.490,-155.390,-0.600,2.683,36.900,2.146,,,12647,""
1096,75.0,6371.2,70.510,19.490,-155.390,-3.700,2.824,37.900,2.228,,,12648,""
1096,62.0,6371.2,56.540,33.460,-112.010,-4.600,4.574,63.200,2.062,,,8600,""
1100,100.0,6371.2,41.450,48.550,2.170,16.090,4.324,62.200,2.017,,,13579,""
1100,200.0,6371.2,38.930,51.070,-1.320,13.600,4.640,61.300,2.228,,,10261,""
1100,100.0,6371.2,47.200,42.800,41.900,,,,,53.800,7.175,1559,""
1100,100.0,6371.2,36.200,53.800,109.100,,,,,69.800,6.858,11291,""
1100,75.0,6371.2,77.190,12.810,-1.060,,,,,22.300,4.462,12831,""
1100,100.0,6371.2,98.400,-8.400,-78.800,,,,,42.200,3.853,805,""
1100,100.0,6371.2,98.400,-8.400,-78.800,,,,,47.100,3.853,806,""
1100,50.0,6371.2,46.100,43.900,0.700,22.200,3.800,57.350,2.050,,,13350,""
1100,100.0,6371.2,98.400,-8.400,-78.800,,,,,47.700,2.578,807,""
1100,50.0,6371.2,46.100,43.900,0.700,18.220,3.511,54.730,2.027,,,13351,""
1100,50.0,6371.2,98.135,-8.135,-78.991,,,,,52.800,3.537,808,""
1100,50.0,6371.2,77.210,12.790,-1.090,,,,,31.500,2.475,10800,""
1100,50.0,6371.2,53.200,36.800,45.200,,,,,70.300,6.221,11321,""
1100,50.0,6371.2,50.000,40.000,67.000,,,58.500,3.438,64.890,8.619,1853,""
1100,50.0,6371.2,50.000,40.000,67.000,,,59.500,3.438,61.290,8.619,1854,""
1100,50.0,6371.2,54.900,35.100,109.000,-5.400,4.562,49.200,2.981,,,5694,""
1100,200.0,6371.2,49.500,40.500,50.000,,,59.000,3.438,70.240,8.627,1855,""
1100,100.0,6371.2,45.500,44.500,33.500,8.000,4.397,54.000,2.585,73.770,5.192,1856,""
1100,50.0,6371.2,53.200,36.800,45.200,,,,,61.600,9.495,11332,""
1100,100.0,6371.2,71.000,19.000,-98.300,-0.900,2.698,41.300,2.027,,,11082,""
1100,100.0,6371.2,71.000,19.000,-98.300,-13.400,2.343,31.200,2.004,,,11083,""
1100,100.0,6371.2,71.000,19.000,-98.300,-14.400,2.425,30.900,2.080,,,11084,""
1100,50.0,6371.2,49.360,40.640,22.940,,,,,69.650,5.087,339,""
1100,50.0,6371.2,77.210,12.790,-1.090,9.200,2.470,-9.500,2.436,,,10839,""
1100,100.0,6371.2,48.000,42.000,76.000,,,56.800,3.135,,,7002,""
1100,100.0,6371.2,52.000,38.000,69.000,,,60.300,3.595,,,7003,""
1100,200.0,6371.2,30.680,59.320,-2.990,-14.300,6.949,64.600,2.981,,,10332,""
1100,200.0,6371.2,30.680,59.320,-2.990,-15.900,7.866,63.900,3.461,,,10333,""
1100,200.0,6371.2,30.680,59.320,-2.990,-2.400,5.855,65.900,2.391,,,10334,""
1100,50.0,6371.2,53.930,36.070,-107.960,,,,,70.500,6.791,607,""
1100,50.0,6371.2,47.000,43.000,41.000,,,,,69.000,9.899,1633,""
1100,50.0,6371.2,36.700,53.300,-0.700,16.600,5.811,68.000,2.177,,,5991,""
1100,50.0,6371.2,54.648,35.352,137.200,5.300,4.157,51.100,2.611,,,10602,""
1100,50.0,6371.2,54.648,35.352,137.200,-0.200,3.812,52.400,2.326,,,10603,""
1100,50.0,6371.2,47.900,42.100,24.200,,,,,51.100,4.010,9601,""
1100,100.0,6371.2,49.000,41.000,48.000,,,,,55.000,4.958,2195,""
1100,50.0,6371.2,40.770,49.230,2.130,18.560,4.134,60.340,2.046,,,13730,""
1100,50.0,6371.2,56.920,33.080,-111.320,-19.600,4.172,58.800,2.161,,,4778,""
1100,200.0,6371.2,30.680,59.320,-2.990,7.100,6.397,70.400,2.146,,,9900,""
1100,200.0,6371.2,30.680,59.320,-2.990,0.300,5.689,64.900,2.413,,,9901,""
1100,100.0,6371.2,99.500,-9.500,-78.500,-10.400,2.305,-24.800,2.092,,,10926,""
1100,100.0,6371.2,40.970,49.030,2.370,19.850,4.180,61.120,2.019,,,13745,""
1100,100.0,6371.2,40.970,49.030,2.370,19.250,4.175,60.920,2.029,,,13746,""
1100,100.0,6371.2,40.000,50.000,31.000,23.500,5.501,66.500,2.193,72.000,4.887,436,""
1100,100.0,6371.2,36.000,54.000,109.000,,,,,61.400,7.276,2232,""
1100,100.0,6371.2,98.000,-8.000,-79.000,-0.200,2.373,-21.300,2.210,,,10949,""
1100,50.0,6371.2,38.900,51.100,-2.700,20.100,4.986,63.900,2.193,,,9928,""
1100,200.0,6371.2,46.700,43.300,2.300,16.130,3.834,50.320,2.448,,,13257,""
1100,100.0,6371.2,41.270,48.730,2.330,18.160,4.017,59.660,2.029,,,13777,""
1100,108.0,6371.2,69.275,20.725,-156.204,2.000,3.110,41.000,2.347,,,7635,""
1100,100.0,6371.2,54.000,36.000,-107.300,,,,,62.000,3.329,214,""
1100,100.0,6371.2,53.900,36.100,-92.500,-24.300,4.315,59.700,2.177,,,5590,""
1100,115.0,6371.2,70.925,19.075,-155.747,,,,,49.900,3.426,12504,""
1100,60.0,6371.2,51.600,38.400,14.950,16.000,3.739,55.300,2.129,,,8153,""
1100,100.0,6371.2,100.000,-10.000,-75.000,,,,,45.300,2.428,2783,""
1100,50.0,6371.2,43.700,46.300,20.080,22.900,4.968,63.800,2.193,,,4073,""
1100,60.0,6371.2,56.660,33.340,-111.940,-10.400,4.439,61.200,2.139,,,8544,""
1100,60.0,6371.2,56.540,33.460,-112.110,-13.600,4.245,59.400,2.161,,,8609,""
1100,60.0,6371.2,56.540,33.460,-112.110,-11.100,4.045,58.200,2.131,,,8610,""
1102,83.0,6371.2,56.540,33.460,-112.110,-14.800,4.071,57.400,2.193,,,8608,""
1103,50.0,6371.2,31.510,58.490,31.300,,,,,66.100,4.134,11219,""
1105,50.0,6371.2,51.270,38.730,14.700,,,51.800,2.118,,,5677,""
1105,90.0,6371.2,52.400,37.600,61.800,,,,,62.000,9.648,2917,""
1106,110.0,6371.2,113.340,-23.340,-49.380,,,,,51.840,5.957,6633,""
1109,50.0,6371.2,105.205,-15.205,-56.811,-4.700,4.316,-37.200,3.438,,,12117,""
1111,50.0,6371.2,55.300,34.700,112.700,,,,,42.300,8.535,713,""
1112,50.0,6371.2,38.490,51.510,-0.180,16.800,4.930,64.000,2.161,,,6408,""
1112,50.0,6371.2,54.800,35.200,-111.400,-11.700,6.287,61.700,2.981,,,4113,""
1113,50.0,6371.2,40.900,49.100,2.480,15.880,4.146,60.990,2.010,,,13441,""
1114,139.0,6371.2,69.280,20.720,-156.350,-0.200,3.582,48.600,2.369,,,3692,""
1115,50.0,6371.2,57.400,32.600,-108.800,-5.100,9.780,56.100,5.455,,,4114,""
1115,50.0,6371.2,57.400,32.600,-108.800,-23.600,8.546,50.000,5.493,,,4115,""
1115,105.0,6371.2,48.500,41.500,1.500,3.600,3.914,50.600,2.484,,,3657,""
1115,50.0,6371.2,38.900,51.100,-1.300,15.200,7.782,71.000,2.534,,,5992,""
1115,50.0,6371.2,38.900,51.100,-1.300,7.200,4.618,53.500,2.747,,,5993,""
1115,50.0,6371.2,38.300,51.700,-1.200,19.000,4.740,60.900,2.305,,,6035,""
1115,50.0,6371.2,54.800,35.200,-111.370,-16.600,4.828,61.200,2.326,,,8478,""
1116,156.0,6371.2,59.600,30.400,103.500,,,,,56.000,4.444,2324,""
1116,87.0,6371.2,48.500,41.500,1.500,9.600,2.963,45.700,2.070,,,3658,""
1117,91.0,6371.2,37.860,52.140,12.600,10.600,5.000,63.300,2.247,66.780,5.111,5409,""
1117,91.0,6371.2,37.860,52.140,12.600,,,,,61.010,6.556,13968,""
1118,158.0,6371.2,50.100,39.900,116.400,,,65.700,2.664,,,5549,""
1118,158.0,6371.2,50.100,39.900,116.410,,,66.200,3.438,71.000,8.617,12257,""
1118,50.0,6371.2,54.800,35.200,-111.400,-15.500,5.756,61.500,2.747,,,4117,""
1119,50.0,6371.2,50.300,39.700,64.300,,,61.600,5.417,,,7004,""
1119,50.0,6371.2,31.510,58.490,31.280,,,,,61.100,4.135,11220,""
1119,159.0,6371.2,45.717,44.283,86.500,,,,,63.000,8.688,647,""
1120,50.0,6371.2,50.300,39.700,64.300,,,58.500,2.585,54.200,7.420,1560,""
1120,50.0,6371.2,77.210,12.790,-1.090,,,,,42.700,4.462,10801,""
1120,50.0,6371.2,77.210,12.790,-1.090,,,,,39.300,3.601,10802,""
1120,50.0,6371.2,77.210,12.790,-1.090,15.100,2.646,9.400,2.611,,,10814,""
1120,90.0,6371.2,29.240,60.760,-0.810,18.500,5.755,63.600,2.559,,,10053,""
1120,50.0,6371.2,77.210,12.790,-1.090,16.100,2.738,6.700,2.719,,,10829,""
1120,50.0,6371.2,55.034,34.966,136.617,-10.900,4.611,52.100,2.832,,,10604,""
1120,160.0,6371.2,55.200,34.800,114.300,,,53.300,2.050,,,5513,""
1120,50.0,6371.2,38.280,51.720,8.990,19.900,6.195,67.300,2.391,61.390,3.894,12953,""
1120,50.0,6371.2,70.600,19.400,-96.900,-15.000,2.583,34.400,2.131,,,6575,""
1120,50.0,6371.2,70.376,19.624,-97.032,,,,,54.000,5.898,11242,""
1120,50.0,6371.2,70.378,19.622,-97.068,,,,,57.000,5.898,11243,""
1120,50.0,6371.2,54.900,35.100,137.000,-4.300,4.661,51.200,2.921,58.230,4.175,2541,""
1120,160.0,6371.2,58.670,31.330,121.170,,,,,50.000,4.334,761,""
1121,137.0,6371.2,70.510,19.490,-155.390,-2.100,2.634,37.400,2.092,,,12545,""
1121,121.0,6371.2,41.730,48.270,20.750,7.200,5.613,67.000,2.193,,,4949,""
1121,137.0,6371.2,70.516,19.484,-155.384,,,,,58.200,4.099,12181,""
1122,74.0,6371.2,105.205,-15.205,-56.811,-6.900,5.964,-54.800,3.438,,,12100,""
1125,125.0,6371.2,56.000,34.000,-110.800,-16.200,6.909,57.300,3.733,,,4118,""
1125,75.0,6371.2,39.340,50.660,4.680,15.000,4.759,64.700,2.034,69.400,3.864,8747,""
1125,75.0,6371.2,39.340,50.660,4.680,13.400,4.963,65.600,2.050,,,8748,""
1125,75.0,6371.2,39.340,50.660,4.680,15.700,5.024,64.900,2.131,,,8749,""
1125,50.0,6371.2,46.880,43.120,25.700,,,54.860,2.932,55.640,3.745,9521,""
1125,50.0,6371.2,48.000,42.000,45.000,,,30.500,3.438,59.410,8.651,1858,""
1125,50.0,6371.2,48.000,42.000,45.000,,,39.500,3.438,61.360,8.651,1859,""
1125,50.0,6371.2,39.500,50.500,30.500,,,60.500,3.438,78.390,8.788,1860,""
1125,50.0,6371.2,42.770,47.230,16.630,22.600,6.576,66.100,2.664,,,4950,""
1125,50.0,6371.2,42.500,47.500,19.100,10.100,4.978,61.000,2.413,,,4951,""
1125,50.0,6371.2,42.500,47.500,19.100,11.500,6.624,68.200,2.460,,,4952,""
1125,50.0,6371.2,35.500,54.500,20.200,,,65.300,2.664,,,7005,""
1125,50.0,6371.2,35.500,54.500,20.200,,,69.000,2.664,,,7006,""
1125,50.0,6371.2,41.300,48.700,2.050,,,,,62.800,4.849,9055,""
1125,50.0,6371.2,53.940,36.060,-112.090,,,,,112.300,13.212,608,""
1125,175.0,6371.2,43.680,46.320,14.320,22.100,5.405,59.800,2.719,,,12900,""
1125,50.0,6371.2,40.900,49.100,1.100,13.310,4.138,60.410,2.043,,,13449,""
1125,50.0,6371.2,54.890,35.110,-109.570,-9.800,4.573,61.800,2.161,,,4779,""
1125,50.0,6371.2,47.900,42.100,26.100,8.250,6.998,61.110,3.381,51.190,3.656,9643,""
1125,50.0,6371.2,43.500,46.500,20.080,16.300,5.206,61.500,2.484,,,4537,""
1125,50.0,6371.2,42.500,47.500,19.100,17.000,4.453,59.700,2.247,,,4540,""
1125,50.0,6371.2,42.500,47.500,19.100,13.000,4.754,61.800,2.247,,,4541,""
1125,50.0,6371.2,42.500,47.500,19.100,13.300,4.755,61.000,2.305,,,4542,""
1125,50.0,6371.2,42.500,47.500,19.100,15.600,5.164,62.700,2.369,,,4543,""
1125,50.0,6371.2,42.500,47.500,19.100,6.900,5.123,61.300,2.460,,,4544,""
1125,50.0,6371.2,42.500,47.500,19.100,15.600,5.335,60.700,2.611,,,4545,""
1125,50.0,6371.2,42.500,47.500,19.100,16.200,5.444,60.700,2.664,,,4546,""
1125,50.0,6371.2,46.600,43.400,6.200,15.870,3.956,58.610,2.060,,,13262,""
1125,50.0,6371.2,54.300,35.700,-106.300,,,,,72.100,4.194,215,""
1125,50.0,6371.2,54.300,35.700,-106.300,,,,,68.000,4.194,216,""
1125,75.0,6371.2,54.000,36.000,-107.000,,,,,60.800,3.510,217,""
1125,50.0,6371.2,37.250,52.750,0.530,12.600,4.931,63.800,2.177,,,6118,""
1126,81.0,6371.2,56.540,33.460,-112.010,2.400,3.746,55.000,2.149,,,8599,""
1127,121.0,6371.2,69.371,20.629,-156.407,4.900,4.165,40.500,3.167,,,7634,""
1128,50.0,6371.2,36.300,53.700,27.900,,,65.000,2.664,,,7007,""
1128,98.0,6371.2,41.420,48.580,2.120,19.970,3.922,59.100,2.014,,,13783,""
1128,98.0,6371.2,41.420,48.580,2.120,18.280,4.078,60.200,2.027,,,13784,""
1128,50.0,6371.2,57.400,32.600,-108.800,-2.600,6.861,45.000,4.852,,,4120,""
1128,50.0,6371.2,57.370,32.630,-108.830,-19.200,4.178,58.600,2.177,,,8479,""
1129,129.0,6371.2,70.550,19.450,-154.940,-2.700,3.332,40.500,2.534,,,12645,""
1130,90.0,6371.2,29.240,60.760,-0.810,19.400,5.712,66.200,2.305,,,10335,""
1130,80.0,6371.2,116.700,-26.700,-66.100,,,,,49.700,3.231,8802,""
1130,80.0,6371.2,56.030,33.970,-111.320,-9.600,4.364,55.300,2.484,,,8576,""
1130,80.0,6371.2,56.030,33.970,-111.320,-10.300,5.060,60.600,2.484,,,8577,""
1135,50.0,6371.2,42.170,47.830,12.400,14.300,4.210,60.200,2.092,,,5410,""
1135,69.0,6371.2,38.670,51.330,0.740,13.900,4.074,59.100,2.092,,,10285,""
1135,69.0,6371.2,38.670,51.330,0.740,12.200,4.196,59.900,2.104,,,10286,""
1135,90.0,6371.2,70.861,19.139,-155.552,,,,,52.900,2.889,12156,""
1135,90.0,6371.2,70.861,19.139,-155.552,,,,,46.800,3.524,12167,""
1135,50.0,6371.2,54.950,35.050,-108.850,-13.400,4.394,60.300,2.177,,,4780,""
1135,85.0,6371.2,48.140,41.860,1.790,27.900,3.870,49.100,2.534,,,11465,""
1135,86.0,6371.2,56.540,33.460,-112.110,-15.500,4.080,56.900,2.228,,,8611,""
